"Path";"Type";"DataType";"Functional Label";"Summary";"Description";"TechnicalComments";"Order";"Size";"Precision";"IsMandatory";"IsTechnicalData";"Status";"Tags";"DataOwners";"DataStewards"
"\modele ERP\employés\id_site_FK_1";"\Modèle\Table\Colonne";"Integer";"Id site fk 1";"Foreign Key ID";"Identifiant de la clé étrangère alternative pour le site de l'employé";;"9";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\camions\immatriculation";"\Modèle\Table\Colonne";"VariableString";"immatriculation";"Vehicle Registration";"Immatriculation du camion";;"1";"7";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\Inclusions";"\Modèle\Table\Colonne";"VariableString";"Inclusions";"ISIC Code Inclusions";"Inclusions associées au code ISIC";;"6";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\ISIC";"\Modèle\Table\Colonne";"Integer";"ISIC";"Client ISIC Code";"Code ISIC associé au client";;"3";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\ISIC Rev. 4 label";"\Modèle\Table\Colonne";"VariableString";"ISIC Rev. 4 label";"Label for ISIC Rev. 4 Code";"Libellé pour le code ISIC Rev. 4";;"2";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\montant HT";"\Modèle\Table\Colonne";"Integer";"montant HT";"Net Amount of Invoice";"Montant net de la facture hors taxes";;"4";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\moyen de payement";"\Modèle\Table\Colonne";"VariableString";"moyen de payement";"Payment Method";"Moyen par lequel le client effectue généralement le paiement";;"9";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\NIC";"\Modèle\Table\Colonne";"Integer";"NIC";"Client NIC";"Numéro d'identification du client";;"14";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\nom";"\Modèle\Table\Colonne";"VariableString";"nom";"Employee Last Name";"Nom de famille de l'employé";;"3";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\nom_destinataire";"\Modèle\Table\Colonne";"VariableString";"nom_destinataire";"Recipient Name";"Nom du destinataire du colis";;"3";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\pays\nombre d'habitants";"\Modèle\Table\Colonne";"Integer";"nombre d'habitants";"Population of the Country";"Nombre total d'habitants dans le pays";;"4";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\sites\nombre_quais";"\Modèle\Table\Colonne";"Integer";"nombre_quais";"Number of Docks at the Site";"Nombre de quais sur le site";;"2";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\numero";"\Modèle\Table\Colonne";"VariableString";"numero";"Street Number";"Numéro de rue de l'adresse";;"2";"10";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\payée";"\Modèle\Table\Colonne";"Boolean";"payée";"Invoice Payment Status";"Statut de paiement de la facture";;"5";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\payment method";"\Modèle\Table\Colonne";"VariableString";"moyen de paiement";"Payment Method for Invoice";"Moyen par lequel la facture est généralement payée";;"6";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\pays\pays";"\Modèle\Table\Colonne";"VariableString";"pays";"Country Code";"Code du pays";;"2";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\pays";"\Modèle\Table\Colonne";"VariableString";"pays";"Country of the Address";"Pays associé à l'adresse";;"6";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\pays\PIB 2022";"\Modèle\Table\Colonne";"Integer";"PIB 2022";"GDP for the Year 2022";"Produit intérieur brut pour l'année 2022";;"3";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\poids";"\Modèle\Table\Colonne";"Integer";"poids";"Weight of the Package";"Poids du colis";;"7";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\prenom";"\Modèle\Table\Colonne";"VariableString";"prenom";"Employee First Name";"Prénom de l'employé";;"4";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\raison_sociale";"\Modèle\Table\Colonne";"VariableString";"raison_sociale";"Legal Name of the Client";"Nom légal du client";;"2";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\région\région";"\Modèle\Table\Colonne";"VariableString";"région";"Region";"Région associée";;"2";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\région";"\Modèle\Table\Colonne";"VariableString";"région";"Region Code";"Code de la région de l'adresse";;"9";"2";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\role";"\Modèle\Table\Colonne";"VariableString";"role";"Employee Role";"Rôle de l'employé";;"2";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\Section (1-digit)";"\Modèle\Table\Colonne";"VariableString";"Section (1-digit)";"ISIC Code Section (1-digit)";"Section du code ISIC (1 chiffre)";;"3";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\SIRENE";"\Modèle\Table\Colonne";"Integer";"SIRENE";"Client SIRENE Number";"Numéro SIRENE du client";;"13";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\siret";"\Modèle\Table\Colonne";"Integer";"siret";"Identification unique du client";"Numéro SIRET du client";;"1";;;"Oui";"Oui";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\SIRET siège";"\Modèle\Table\Colonne";"Integer";"SIRET siège";"Identification unique du siège social du client";"Numéro SIRET du siège social du client";;"12";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\siret_client";"\Modèle\Table\Colonne";"Binary";"siret_client";"SIRET du client pour les factures";"Numéro SIRET du client pour les factures";;"2";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\superieur hierarchique";"\Modèle\Table\Colonne";"Integer";"Superieur hierarchique";"Identifiant du supérieur hiérarchique";"Numéro d'identification du supérieur hiérarchique";;"7";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\telephone";"\Modèle\Table\Colonne";"Integer";"telephone";"Numéro de téléphone de l'employé";"Numéro de téléphone de l'employé";;"5";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\ts_prevision_arrivee";"\Modèle\Table\Colonne";"TimeStamp";"ts_prevision_arrivee";"Heure prévue d'arrivée pour une course";"Timestamp représentant l'heure prévue d'arrivée pour une course";;"2";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\ts_prevision_depart";"\Modèle\Table\Colonne";"TimeStamp";"ts_prevision_depart";"Heure prévue de départ pour une course";"Timestamp représentant l'heure prévue de départ pour une course";;"1";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\type client";"\Modèle\Table\Colonne";"VariableString";"type client";"Type du client (personne physique ou personne morale)";"Indique si le client est une personne physique ou une personne morale";;"11";"3";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\ville";"\Modèle\Table\Colonne";"VariableString";"ville";"Nom de la ville";"Nom de la ville associée à une adresse";;"7";"30";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\voie";"\Modèle\Table\Colonne";"VariableString";"voie";"Nom de la voie";"Nom de la voie associée à une adresse";;"3";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\volume";"\Modèle\Table\Colonne";"Integer";"volume";"Volume du colis";"Volume du colis expédié en unités cubiques";;"6";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
